,Date,Open,High,Low,Close,Volume,Date.1,cpi,unemployment,consumer_confidence,interest_rate,log_returns,range,volatility,volume_ma
0,2015-02-01,168.07282685014968,178.3143071719835,166.23288735741872,176.9868621826172,1901638100,2015-02-01,234.722,5.5,95.4,0.11,,12.081419814564782,,
1,2015-03-01,177.08770515324412,178.16310152736582,171.49227498119026,173.4330291748047,2749923000,2015-03-01,236.119,5.4,93.0,0.11,-0.020283978984409146,6.670826546175562,,
2,2015-04-01,174.17344540482796,179.3128206061944,172.58690085913435,175.9203338623047,2036685200,2015-04-01,236.599,5.4,95.9,0.12,0.014239718174611227,6.725919747060061,,
3,2015-05-01,176.71359314471786,180.4098988915835,174.4856858302828,178.18199157714844,1892519900,2015-05-01,237.805,5.6,90.7,0.12,0.012774208510519358,5.924213061300719,,
4,2015-06-01,178.8571181292524,180.03857925428454,173.23671118382703,173.71774291992188,2535242600,2015-06-01,238.638,5.3,96.1,0.13,-0.025373637612831956,6.801868070457516,,
5,2015-07-01,176.15699174809944,180.77864046125825,173.08720181355886,178.5059814453125,2452758000,2015-07-01,238.654,5.2,93.1,0.13,0.027190295205867798,7.6914386476993855,,
6,2015-08-01,178.47210267809336,179.19290306047537,154.67694289031888,167.6260528564453,3734926900,2015-08-01,238.316,5.1,91.9,0.14,-0.06288648755090431,24.51596017015649,,
7,2015-09-01,163.7676154214088,172.0526731203125,158.51843374725505,162.50408935546875,3279512900,2015-09-01,237.945,5.0,87.2,0.14,-0.031032455887332944,13.53423937305746,,
8,2015-10-01,163.7324672925753,178.53044576528234,161.2093040384936,177.2432861328125,2536184400,2015-10-01,237.838,5.0,90.0,0.12,0.0868201200241705,17.32114172678874,,
9,2015-11-01,177.57572278561,180.4227957644389,172.3418638149082,177.89111328125,1924512800,2015-11-01,237.336,5.1,91.3,0.12,0.0036483532323563495,8.08093194953068,,
10,2015-12-01,178.5304300008138,179.8602000146099,170.3386924087837,173.78245544433594,2924882300,2015-12-01,236.525,5.0,92.6,0.24,-0.023367379048777615,9.521507605826201,,
11,2016-01-01,171.91844013782685,173.12749295976175,155.22308302458163,166.11322021484375,3712950900,2016-01-01,236.916,4.8,92.0,0.34,-0.04513465557181462,17.904409935180126,,2640144750.0
12,2016-02-01,165.09279819533197,168.6513818405204,155.28309567422917,165.97601318359375,2920730800,2016-02-01,237.111,4.9,91.7,0.38,-0.0008263263319507885,13.368286166291227,0.03916089216398038,2725069141.6666665
13,2016-03-01,167.21932791365953,177.3891724702628,166.73913501063345,176.2315673828125,2323306500,2016-03-01,238.132,5.0,91.0,0.36,0.059955574976539694,10.650037459629345,0.043038062875433894,2689517766.6666665
14,2016-04-01,176.13208324995472,181.79484985067415,175.0460634882406,177.8386688232422,1910635600,2016-04-01,239.261,5.1,89.0,0.37,0.009077930380402499,6.748786362433549,0.04292298959883203,2679013633.3333335
15,2016-05-01,178.3472266056973,181.59664576399476,174.77890350581873,180.864013671875,1828530900,2016-05-01,240.229,4.8,94.7,0.37,0.016868658835522687,6.817742258176025,0.043042037077560796,2673681216.6666665
16,2016-06-01,180.24340619059143,183.17392094544437,171.2191678255243,180.5536956787109,2612406900,2016-06-01,241.018,4.9,93.5,0.38,-0.0017172266958302984,11.95475311992007,0.042246435016551724,2680111575.0
17,2016-07-01,181.49267204570785,188.47582329368524,179.39599483076813,188.1119384765625,1648453700,2016-07-01,240.628,4.8,90.0,0.39,0.041008986549654125,9.079828462917106,0.0431382490402931,2613086216.6666665
18,2016-08-01,188.1726170825964,190.260635366956,185.62540981057708,188.3372344970703,1519703200,2016-08-01,240.849,4.9,89.8,0.4,0.0011969533396847254,4.635225556378913,0.037676456372399456,2428484241.6666665
19,2016-09-01,188.32851092643764,189.93134895609344,183.9445488943843,187.40147399902344,2292393000,2016-09-01,241.428,5.0,91.2,0.4,-0.0049809211110734,5.986800061709147,0.035820360889130494,2346224250.0
20,2016-10-01,187.9301325105885,188.69640329660615,183.9158706434032,185.08270263671875,1725687400,2016-10-01,241.729,4.9,87.2,0.4,-0.012450468831756822,4.780532653202954,0.02741705803932982,2278682833.3333335
21,2016-11-01,185.41361210020824,193.15479363540132,181.4516072125701,191.90087890625,2073824400,2016-11-01,241.353,4.7,93.8,0.41,0.03617621656061054,11.703186422831209,0.028984714820633157,2291125466.6666665
22,2016-12-01,192.2056328830583,198.8322129214078,190.82981057629252,194.643798828125,1821910200,2016-12-01,241.432,4.7,98.2,0.54,0.014192232461124554,8.002402345115286,0.027476479622701937,2199211125.0
23,2017-01-01,197.1136995015982,201.2041885298859,196.09765963144636,199.29470825195312,1482408500,2017-01-01,242.839,4.7,98.5,0.65,0.023613459708726303,5.106528898439535,0.02160001104048439,2013332591.6666667
24,2017-02-01,199.29468113021883,207.8610317153323,198.67279600999683,207.12527465820312,1365136600,2017-02-01,243.603,4.6,96.3,0.66,0.038539126601151885,9.188235705335472,0.021935379824128274,1883699741.6666667
25,2017-03-01,208.8069826389734,210.4974861597533,202.86834808624235,206.48583984375,1921474100,2017-03-01,243.801,4.4,96.9,0.79,-0.00309196393163802,7.629138073510944,0.018349411693516036,1850213708.3333333
26,2017-04-01,207.4369677546273,210.71830360468908,204.54269554252892,209.44271850585935,1549613700,2017-04-01,244.524,4.4,97.0,0.9,0.014218444091682159,6.1756080621601654,0.018304310079772138,1820128550.0
27,2017-05-01,209.9704904078132,212.961531180525,207.11141501496127,212.3985137939453,1492547000,2017-05-01,244.733,4.4,97.1,0.91,0.0140140101832964,5.850116165563719,0.018276938604117107,1792129891.6666667
28,2017-06-01,212.86477525420855,215.53910465191245,211.0965518099744,212.71522521972656,1572753000,2017-06-01,244.955,4.3,95.0,1.04,0.0014900082274964532,4.442552841938067,0.0180580248473908,1705492066.6666667
29,2017-07-01,214.70730605590623,219.23341086705005,212.46192405213745,218.1460876464844,1055908800,2017-07-01,244.786,4.3,93.4,1.15,0.025210664805956462,6.771486814912606,0.016380927858019364,1656113325.0
30,2017-08-01,218.75605842251872,220.03786400126384,213.77910197036897,218.78257751464844,1557031500,2017-08-01,245.519,4.4,96.8,1.16,0.0029134747575216835,6.2587620308948715,0.016281934943081635,1659224016.6666667
31,2017-09-01,219.16267339171876,222.16830061634568,216.53717560084507,222.08872985839844,1286405100,2017-09-01,246.819,4.3,95.1,1.15,0.014998546136096635,5.631125015500601,0.015326830860190472,1575391691.6666667
32,2017-10-01,223.42191746119823,229.1076397006822,223.2442280507466,228.45021057128903,1320624600,2017-10-01,246.663,4.2,100.7,1.15,0.02824130368119171,5.8634116499355855,0.01326945562266786,1541636458.3333333
33,2017-11-01,229.2408845296734,236.35689238535804,227.09985463924255,235.4329833984375,1365620900,2017-11-01,246.669,4.2,98.5,1.16,0.030108011653855904,9.257037746115486,0.012593204016837722,1482619500.0
34,2017-12-01,235.2108890974817,238.6223142351597,231.65731785678412,237.0764923095703,1715222900,2017-12-01,246.524,4.1,95.9,1.3,0.006956540021072932,6.964996378375588,0.012911026637739168,1473728891.6666667
35,2018-01-01,239.16338578558907,255.94161952210115,238.7704927334704,251.7180328369141,1985506700,2018-01-01,247.867,4.0,95.7,1.41,0.05992670231942032,17.171126788630744,0.017999499066904137,1515653741.6666667
36,2018-02-01,250.9768927645766,252.7538221865735,225.8407998162624,242.56544494628903,2923722000,2018-02-01,248.991,4.1,99.7,1.42,-0.03703799370755423,26.913022370311097,0.023190674889206668,1645535858.3333333
37,2018-03-01,242.35118257584423,250.3875873278888,230.22512547877025,234.9755401611328,2323561800,2018-03-01,249.554,4.0,101.4,1.51,-0.03179012572842588,20.162461849118557,0.02629166748584395,1679043166.6666667
38,2018-04-01,235.37868499317156,243.22314734109705,228.314195632292,237.1358642578125,1998466500,2018-04-01,250.546,4.0,98.8,1.69,0.009151819484740642,14.908951708805034,0.02627194352775735,1716447566.6666667
39,2018-05-01,236.56207402736456,245.86785160318087,232.2408895405195,242.90040588378903,1606397200,2018-05-01,251.588,3.8,98.0,1.7,0.024018263207011614,13.626962062661363,0.0265560293072816,1725935083.3333333
40,2018-06-01,244.2182760638968,250.5566079065904,240.70394506063425,243.2052154541016,1599001000,2018-06-01,251.989,4.0,98.2,1.82,0.0012540879878013556,9.852662845956132,0.026563943161012637,1728122416.6666667
41,2018-07-01,242.7033907019569,256.08533831029257,242.46022846895812,253.3477020263672,1266892500,2018-07-01,252.006,3.8,97.9,1.91,0.04085726654312438,13.62510984133445,0.02767686487591241,1745704391.6666667
42,2018-08-01,253.55482213114047,262.72226869523155,251.3935420103297,261.4345092773437,1308443700,2018-08-01,252.146,3.8,96.2,1.91,0.03142094807598461,11.328726684901852,0.028003872529378197,1724988741.6666667
43,2018-09-01,261.0112047865274,264.70340581548123,258.1925242877249,261.8036804199219,1228103300,2018-09-01,252.439,3.7,100.1,1.95,0.0014111019077169829,6.510881527756339,0.028270396297409045,1720130258.3333333
44,2018-10-01,264.2463023413929,265.2413814553682,235.06352647823,244.81524658203125,3024345800,2018-10-01,252.885,3.8,98.6,2.19,-0.06709108102458305,30.177854977138196,0.03612055071457488,1862107025.0
45,2018-11-01,245.6926401952839,254.39500376631676,237.9763004535637,249.35630798339844,2021061200,2018-11-01,252.038,3.8,97.5,2.2,0.018378998891698473,16.418703312753053,0.035556246684309345,1916727050.0
46,2018-12-01,253.54473363964945,253.65328269829743,211.46216569492708,226.0807037353516,3102780500,2018-12-01,251.233,3.9,98.3,2.27,-0.09799079767703933,42.19111700337035,0.04626767253640798,2032356850.0
47,2019-01-01,223.815917374149,246.09924586083537,221.71406262299527,245.6078948974609,2048691700,2019-01-01,251.712,4.0,91.2,2.4,0.08284430940156096,24.385183237840096,0.04950415095907918,2037622266.6666667
48,2019-02-01,245.80811619830956,255.96254721414172,243.6971532413716,253.56951904296875,1371716300,2019-02-01,252.776,3.8,93.8,2.4,0.03190168118677228,12.265393972770113,0.049072731801348836,1908288458.3333333
49,2019-03-01,255.17087609820177,259.483768161648,247.87353048024136,257.0270690917969,1678081300,2019-03-01,254.202,3.8,98.4,2.41,0.013543384263057234,11.610237681406659,0.04782144725021258,1854498416.6666667
50,2019-04-01,260.188165214079,269.0987184352447,259.9139776116736,268.7057189941406,1209204700,2019-04-01,255.548,3.7,97.2,2.42,0.044435392778811256,9.184740823571076,0.04900400149829434,1788726600.0
51,2019-05-01,269.3453948147719,269.55560246836745,251.5425608422669,251.56997680664065,1845593200,2019-05-01,256.092,3.6,100.0,2.39,-0.06589561069434602,18.013041626100545,0.05341085936687305,1808659600.0
52,2019-06-01,251.6065284169816,270.7984834626101,249.5776634822685,267.7734680175781,1340435600,2019-06-01,256.143,3.6,98.2,2.38,0.06242016584019883,21.220819980341588,0.05608867709314954,1787112483.3333333
53,2019-07-01,272.4553129034704,277.5521580320616,270.29719080536813,273.1440734863281,1110102300,2019-07-01,256.571,3.7,98.4,2.4,0.019858043207642062,7.254967226693452,0.05529296169961597,1774046633.3333333
54,2019-08-01,273.3002238039967,276.3032100638904,258.716860902547,268.5707397460937,2034004800,2019-08-01,256.558,3.6,89.8,2.13,-0.016885055696231,17.586349161343378,0.0550533051134604,1834510058.3333333
55,2019-09-01,266.84428622718275,277.91955676201707,265.6504174540266,272.5380249023437,1303830000,2019-09-01,256.759,3.5,93.2,2.04,0.014663803304191703,12.269139307990486,0.055167881358911104,1840820616.6666667
56,2019-10-01,274.69151854646344,280.97434460955054,262.7716896971662,279.8487854003906,1386748300,2019-10-01,257.346,3.6,95.5,1.83,0.0264712598527046,18.202654912384332,0.050741646910515636,1704354158.3333333
