,Date,Open,High,Low,Close,Volume,Date,cpi,unemployment,consumer_confidence,interest_rate
0,2015-02-01,168.07288481123857,178.31436866491845,166.2329446839916,176.98692321777344,1901638100,2015-02-01,234.722,5.5,95.4,0.11
1,2015-03-01,177.08768957291346,178.1630858524209,171.49225989315045,173.43301391601562,2749923000,2015-03-01,236.119,5.4,93.0,0.11
2,2015-04-01,174.17346051209728,179.31283615923732,172.58691582879166,175.92034912109375,2036685200,2015-04-01,236.599,5.4,95.9,0.12
3,2015-05-01,176.71357801167653,180.40988344200542,174.48567088803048,178.18197631835938,1892519900,2015-05-01,237.805,5.6,90.7,0.12
4,2015-06-01,178.85708670882303,180.03854762630394,173.23668075075338,173.71771240234375,2535242600,2015-06-01,238.638,5.3,96.1,0.13
5,2015-07-01,176.157051980084,180.77870227348706,173.0872609959141,178.50604248046875,2452758000,2015-07-01,238.654,5.2,93.1,0.13
6,2015-08-01,178.47208643200202,179.19288674877046,154.67692881027102,167.62603759765625,3734926900,2015-08-01,238.316,5.1,91.9,0.14
7,2015-09-01,163.76755391168288,172.05260849878928,158.51837420907722,162.5040283203125,3279512900,2015-09-01,237.945,5.0,87.2,0.14
8,2015-10-01,163.73245319692612,178.53043039568232,161.20929016006232,177.24327087402344,2536184400,2015-10-01,237.838,5.0,90.0,0.12
9,2015-11-01,177.57576848081837,180.4228421922789,172.34190816329806,177.8911590576172,1924512800,2015-11-01,237.336,5.1,91.3,0.12
10,2015-12-01,178.53046135217392,179.86023159948817,170.33872232160968,173.78248596191406,2924882300,2015-12-01,236.525,5.0,92.6,0.24
11,2016-01-01,171.91847172191402,173.1275247659707,155.22311154147246,166.11325073242188,3712950900,2016-01-01,236.916,4.8,92.0,0.34
12,2016-02-01,165.09279819533197,168.6513818405204,155.28309567422917,165.97601318359375,2920730800,2016-02-01,237.111,4.9,91.7,0.38
13,2016-03-01,167.2193713490864,177.38921854731936,166.73917832132963,176.2316131591797,2323306500,2016-03-01,238.132,5.0,91.0,0.36
14,2016-04-01,176.13208324995472,181.79484985067418,175.0460634882406,177.8386688232422,1910635600,2016-04-01,239.261,5.1,89.0,0.37
15,2016-05-01,178.3472416521549,181.5966610845931,174.7789182512309,180.86402893066406,1828530900,2016-05-01,240.229,4.8,94.7,0.37
16,2016-06-01,180.24340619059146,183.17392094544434,171.2191678255243,180.55369567871094,2612406900,2016-06-01,241.018,4.9,93.5,0.38
17,2016-07-01,181.49267204570785,188.47582329368524,179.39599483076813,188.1119384765625,1648453700,2016-07-01,240.628,4.8,90.0,0.39
18,2016-08-01,188.17260183714436,190.26061995233596,185.62539477149582,188.33721923828125,1519703200,2016-08-01,240.849,4.9,89.8,0.4
19,2016-09-01,188.32854159498,189.93137988565152,183.94457884901604,187.40150451660156,2292393000,2016-09-01,241.428,5.0,91.2,0.4
20,2016-10-01,187.93014800412848,188.69641885331987,183.91588580599506,185.0827178955078,1725687400,2016-10-01,241.729,4.9,87.2,0.4
21,2016-11-01,185.41362684316937,193.15480899389408,181.45162164049677,191.90089416503906,2073824400,2016-11-01,241.353,4.7,93.8,0.41
22,2016-12-01,192.20564795071124,198.83222850854088,190.8298255360901,194.64381408691406,1821910200,2016-12-01,241.432,4.7,98.2,0.54
